Problema;Variable;Claúsulas;K;MejoraLocal;Previo;PartirVars;TLectura;TBúsqueda;TTotal;SAT
CNF/UNSATaimV50C100.cnf;50;100;K25;N;N;N;0.00039124488830566406;193.07758808135986;193.07803392410278;UNSAT
CNF/UNSATaimV50C100.cnf;50;100;K25;N;N;Y;0.00039124488830566406;193.1337127685547;193.13417029380798;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K05;N;N;N;0.0009377002716064453;0.2049860954284668;0.20599150657653809;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K05;N;N;Y;0.0009377002716064453;0.20413470268249512;0.2050936222076416;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K10;N;N;N;0.0009377002716064453;0.2045741081237793;0.20553064346313477;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K10;N;N;Y;0.0009377002716064453;0.20475220680236816;0.20570898056030273;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K15;N;N;N;0.0009377002716064453;0.20456910133361816;0.20552587509155273;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K15;N;N;Y;0.0009377002716064453;0.2044508457183838;0.20540714263916016;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K20;N;N;N;0.0009377002716064453;0.20510411262512207;0.20606088638305664;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K20;N;N;Y;0.0009377002716064453;0.20460987091064453;0.20557117462158203;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K25;N;N;N;0.0009377002716064453;0.20531105995178223;0.2062675952911377;UNSAT
CNF/UNSATTmTbV112C245.cnf;112;245;K25;N;N;Y;0.0009377002716064453;0.20453190803527832;0.20549368858337402;UNSAT
CNF/SATTmTbV140C301.cnf;140;301;K05;N;N;N;0.0010488033294677734;1.631549596786499;1.632648229598999;SAT
CNF/SATTmTbV140C301.cnf;140;301;K05;N;N;Y;0.0010488033294677734;1.6296861171722412;1.6308345794677734;SAT
CNF/SATTmTbV140C301.cnf;140;301;K10;N;N;N;0.0010488033294677734;1.6305549144744873;1.631702184677124;SAT
CNF/SATTmTbV140C301.cnf;140;301;K10;N;N;Y;0.0010488033294677734;1.630962610244751;1.6321117877960205;SAT
CNF/SATTmTbV140C301.cnf;140;301;K15;N;N;N;0.0010488033294677734;1.6296405792236328;1.6307892799377441;SAT
CNF/SATTmTbV140C301.cnf;140;301;K15;N;N;Y;0.0010488033294677734;1.6305036544799805;1.6316521167755127;SAT
CNF/SATTmTbV140C301.cnf;140;301;K20;N;N;N;0.0010488033294677734;1.6306161880493164;1.6317591667175293;SAT
CNF/SATTmTbV140C301.cnf;140;301;K20;N;N;Y;0.0010488033294677734;1.6315319538116455;1.632680892944336;SAT
CNF/SATTmTbV140C301.cnf;140;301;K25;N;N;N;0.0010488033294677734;1.63083815574646;1.631983757019043;SAT
CNF/SATTmTbV140C301.cnf;140;301;K25;N;N;Y;0.0010488033294677734;1.6325197219848633;1.6336665153503418;SAT
CNF/SAT_V300C1016.cnf;300;1016;K05;N;N;N;0.03801679611206055;23.016098260879517;23.0542573928833;SAT
CNF/SAT_V300C1016.cnf;300;1016;K05;N;N;Y;0.03801679611206055;23.0777587890625;23.116032600402832;SAT
CNF/SAT_V300C1016.cnf;300;1016;K10;N;N;N;0.03801679611206055;9.471973657608032;9.510243654251099;SAT
CNF/SAT_V300C1016.cnf;300;1016;K10;N;N;Y;0.03801679611206055;9.444387197494507;9.482709169387817;SAT
CNF/SAT_V300C1016.cnf;300;1016;K15;N;N;N;0.03801679611206055;8.742568969726562;8.780887842178345;SAT
CNF/SAT_V300C1016.cnf;300;1016;K15;N;N;Y;0.03801679611206055;8.73232889175415;8.770643711090088;SAT
CNF/SAT_V300C1016.cnf;300;1016;K20;N;N;N;0.03801679611206055;10.265540838241577;10.303845167160034;SAT
CNF/SAT_V300C1016.cnf;300;1016;K20;N;N;Y;0.03801679611206055;10.258623123168945;10.296873331069946;SAT
CNF/SAT_V300C1016.cnf;300;1016;K25;N;N;N;0.03801679611206055;11.581833600997925;11.620080471038818;SAT
CNF/SAT_V300C1016.cnf;300;1016;K25;N;N;Y;0.03801679611206055;11.557297706604004;11.595559358596802;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K05;N;N;N;0.037993669509887695;23.035425186157227;23.073776245117188;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K05;N;N;Y;0.037993669509887695;23.214235305786133;23.252474784851074;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K10;N;N;N;0.037993669509887695;9.456007719039917;9.494253158569336;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K10;N;N;Y;0.037993669509887695;9.440224170684814;9.478521585464478;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K15;N;N;N;0.037993669509887695;8.742131471633911;8.780419826507568;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K15;N;N;Y;0.037993669509887695;8.736409425735474;8.774684190750122;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K20;N;N;N;0.037993669509887695;10.282680988311768;10.320976257324219;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K20;N;N;Y;0.037993669509887695;10.278798580169678;10.31703782081604;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K25;N;N;N;0.037993669509887695;11.558128356933594;11.596367597579956;SAT
CNF/aes_32_1_keyfind_1.cnf;300;1016;K25;N;N;Y;0.037993669509887695;11.565744400024414;11.6039719581604;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K05;N;N;N;0.00439906120300293;0.23230433464050293;0.23707127571105957;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K05;N;N;Y;0.00439906120300293;0.23389863967895508;0.2384188175201416;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K10;N;N;N;0.00439906120300293;0.2331700325012207;0.23769092559814453;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K10;N;N;Y;0.00439906120300293;0.23265838623046875;0.23717808723449707;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K15;N;N;N;0.00439906120300293;0.233353853225708;0.23787331581115723;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K15;N;N;Y;0.00439906120300293;0.23232579231262207;0.23685288429260254;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K20;N;N;N;0.00439906120300293;0.23171567916870117;0.2362356185913086;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K20;N;N;Y;0.00439906120300293;0.23268866539001465;0.23720908164978027;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K25;N;N;N;0.00439906120300293;0.23380613327026367;0.238325834274292;SAT
CNF/SATCircuitosV416C1136.cnf;416;1136;K25;N;N;Y;0.00439906120300293;0.23271441459655762;0.23723459243774414;SAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K05;N;N;N;0.0054547786712646484;1.152566909790039;1.1582527160644531;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K05;N;N;Y;0.0054547786712646484;1.1529746055603027;1.1585018634796143;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K10;N;N;N;0.0054547786712646484;1.1566815376281738;1.1622085571289062;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K10;N;N;Y;0.0054547786712646484;1.157010793685913;1.1625392436981201;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K15;N;N;N;0.0054547786712646484;1.1574828624725342;1.1630103588104248;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K15;N;N;Y;0.0054547786712646484;1.161705493927002;1.1672337055206299;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K20;N;N;N;0.0054547786712646484;1.1672351360321045;1.172762393951416;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K20;N;N;Y;0.0054547786712646484;1.1586720943450928;1.1642000675201416;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K25;N;N;N;0.0054547786712646484;1.159555435180664;1.165083646774292;UNSAT
CNF/UNSATBFCircuitosV421C1000.cnf;421;1000;K25;N;N;Y;0.0054547786712646484;1.1606311798095703;1.1661603450775146;UNSAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K05;N;N;N;0.0051174163818359375;1.412886381149292;1.4181835651397705;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K05;N;N;Y;0.0051174163818359375;1.4152164459228516;1.4204833507537842;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K10;N;N;N;0.0051174163818359375;1.4193651676177979;1.4246342182159424;SAT
CNF/SATBFCircuitosV423C1010.cnf;423;1010;K10;N;N;Y;0.0051174163818359375;1.4173765182495117;1.4226460456848145;SAT
